C10-1001	2
C10-1002	2
C10-1003	3
C10-1004	3
C10-1005	4
C10-1006	3
C10-1007	2
C10-1008	2
C10-1009	3
C10-1010	2
C10-1011	1
C10-1012	4
C10-1013	3
C10-1014	3
C10-1015	2
C10-1016	4
C10-1017	2
C10-1018	2
C10-1019	2
C10-1020	2
C10-1021	4
C10-1022	3
C10-1023	2
C10-1024	2
C10-1025	9
C10-1026	2
C10-1027	3
C10-1028	2
C10-1029	2
C10-1030	1
C10-1031	2
C10-1032	5
C10-1033	2
C10-1034	5
C10-1035	3
C10-1036	4
C10-1037	1
C10-1038	2
C10-1039	3
C10-1040	3
C10-1041	5
C10-1042	2
C10-1043	1
C10-1044	3
C10-1045	2
C10-1046	5
C10-1047	2
C10-1048	3
C10-1049	2
C10-1050	5
C10-1051	4
C10-1052	2
C10-1053	2
C10-1054	4
C10-1055	4
C10-1056	2
C10-1057	2
C10-1058	2
C10-1059	2
C10-1060	2
C10-1061	2
C10-1062	8
C10-1063	4
C10-1064	4
C10-1065	3
C10-1066	3
C10-1067	3
C10-1068	4
C10-1069	4
C10-1070	2
C10-1071	3
C10-1072	5
C10-1073	2
C10-1074	7
C10-1075	4
C10-1076	4
C10-1077	2
C10-1078	4
C10-1079	7
C10-1080	2
C10-1081	2
C10-1082	3
C10-1083	4
C10-1084	2
C10-1085	2
C10-1086	4
C10-1087	4
C10-1088	4
C10-1089	4
C10-1090	3
C10-1091	3
C10-1092	3
C10-1093	2
C10-1094	4
C10-1095	4
C10-1096	2
C10-1097	3
C10-1098	3
C10-1099	2
C10-1100	4
C10-1101	3
C10-1102	4
C10-1103	3
C10-1104	2
C10-1105	2
C10-1106	4
C10-1107	3
C10-1108	2
C10-1109	2
C10-1110	2
C10-1111	2
C10-1112	4
C10-1113	3
C10-1114	3
C10-1115	3
C10-1116	2
C10-1117	6
C10-1118	3
C10-1119	4
C10-1120	2
C10-1121	3
C10-1122	2
C10-1123	5
C10-1124	4
C10-1125	2
C10-1126	5
C10-1127	3
C10-1128	1
C10-1129	2
C10-1130	2
C10-1131	2
C10-1132	3
C10-1133	2
C10-1134	2
C10-1135	5
C10-1136	3
C10-1137	4
C10-1138	2
C10-1139	2
C10-1140	2
C10-1141	5
C10-1142	4
C10-1143	4
C10-1144	3
C10-1145	4
C10-1146	2
C10-1147	2
C10-1148	3
C10-1149	4
C10-1150	5
C10-1151	3
C10-1152	3
C10-1153	2
C10-1154	3
C10-1155	3
C10-2001	2
C10-2002	3
C10-2003	5
C10-2004	4
C10-2005	2
C10-2006	2
C10-2007	1
C10-2008	2
C10-2009	3
C10-2010	2
C10-2011	3
C10-2012	2
C10-2013	4
C10-2014	3
C10-2015	4
C10-2016	3
C10-2017	3
C10-2018	2
C10-2019	3
C10-2020	2
C10-2021	2
C10-2022	3
C10-2023	2
C10-2024	2
C10-2025	5
C10-2026	4
C10-2027	2
C10-2028	3
C10-2029	2
C10-2030	2
C10-2031	3
C10-2032	4
C10-2033	4
C10-2034	5
C10-2035	3
C10-2036	2
C10-2037	3
C10-2038	3
C10-2039	3
C10-2040	4
C10-2041	1
C10-2042	2
C10-2043	4
C10-2044	3
C10-2045	3
C10-2046	7
C10-2047	4
C10-2048	4
C10-2049	2
C10-2050	5
C10-2051	3
C10-2052	3
C10-2053	2
C10-2054	4
C10-2055	2
C10-2056	1
C10-2057	2
C10-2058	1
C10-2059	4
C10-2060	3
C10-2061	3
C10-2062	2
C10-2063	2
C10-2064	6
C10-2065	3
C10-2066	6
C10-2067	2
C10-2068	2
C10-2069	4
C10-2070	6
C10-2071	6
C10-2072	5
C10-2073	4
C10-2074	3
C10-2075	4
C10-2076	5
C10-2077	3
C10-2078	2
C10-2079	6
C10-2080	5
C10-2081	3
C10-2082	6
C10-2084	3
C10-2085	4
C10-2086	5
C10-2087	4
C10-2088	3
C10-2089	3
C10-2090	2
C10-2091	3
C10-2092	3
C10-2093	1
C10-2094	6
C10-2095	3
C10-2096	3
C10-2098	4
C10-2099	2
C10-2100	2
C10-2101	2
C10-2102	1
C10-2103	2
C10-2104	3
C10-2105	4
C10-2106	4
C10-2107	2
C10-2108	2
C10-2109	2
C10-2110	1
C10-2111	1
C10-2112	4
C10-2113	2
C10-2114	1
C10-2115	4
C10-2116	2
C10-2117	3
C10-2118	3
C10-2119	2
C10-2120	3
C10-2121	3
C10-2122	5
C10-2123	2
C10-2124	2
C10-2125	3
C10-2126	4
C10-2127	4
C10-2128	1
C10-2129	4
C10-2130	3
C10-2131	6
C10-2132	2
C10-2133	4
C10-2134	4
C10-2135	1
C10-2136	6
C10-2137	2
C10-2138	5
C10-2139	1
C10-2140	3
C10-2141	3
C10-2142	4
C10-2143	2
C10-2144	2
C10-2145	4
C10-2146	3
C10-2147	3
C10-2148	2
C10-2149	4
C10-2150	2
C10-2151	6
C10-2152	4
C10-2153	2
C10-2154	4
C10-2155	4
C10-2156	2
C10-2157	2
C10-2158	2
C10-2159	2
C10-2160	2
C10-2161	2
C10-2162	5
C10-2163	4
C10-2164	7
C10-2165	4
C10-2166	2
C10-2167	4
C10-2168	6
C10-2169	1
C10-2170	3
C10-2171	3
C10-2172	6
C10-2173	3
C10-2174	4
C10-2175	5
C10-2176	2
C10-2177	3
C10-2178	3
C12-1001	5
C12-1002	5
C12-1003	3
C12-1004	2
C12-1005	3
C12-1006	4
C12-1007	3
C12-1008	1
C12-1009	4
C12-1010	5
C12-1011	3
C12-1012	2
C12-1013	4
C12-1014	5
C12-1015	7
C12-1016	3
C12-1017	3
C12-1018	2
C12-1019	4
C12-1020	9
C12-1021	3
C12-1022	3
C12-1023	4
C12-1024	3
C12-1025	2
C12-1026	5
C12-1027	2
C12-1028	5
C12-1029	2
C12-1030	2
C12-1031	2
C12-1032	2
C12-1033	2
C12-1034	4
C12-1035	7
C12-1036	2
C12-1037	2
C12-1038	4
C12-1039	1
C12-1040	7
